µm	0	0.00402611	0.00805222	0.0120783	0.0161044	0.0201306	0.0241567	0.0281828	0.0322089	0.036235	0.0402611	0.0442872	0.0483133	0.0523395	0.0563656	0.0603917	0.0644178	0.0684439	0.07247	0.0764961	0.0805222	0.0845483	0.0885745	0.0926006	0.0966267	0.100653	0.104679	0.108705	0.112731	0.116757	0.120783	0.124809	0.128836	
export_profile_stack_as_tabbed_text_data	106	68	52	98	184	180	238	264	282	307	334	331	323	357	371	396	387	431	382	404	403	433	495	462	506	435	473	326	124	43	42	41	34	
Peak_FeK	125	98	58	155	268	302	418	433	467	530	517	561	577	617	558	571	689	615	658	658	697	631	664	677	708	763	745	403	152	49	53	51	32	
Peak_CeL	41	34	24	38	83	78	86	114	120	102	116	135	110	151	149	148	146	182	154	171	142	174	205	187	173	179	218	779	371	53	32	40	33	
Peak_OK	189	149	89	209	293	337	379	448	445	541	531	514	532	578	600	639	620	578	608	599	650	648	644	620	631	656	680	721	639	690	672	756	774	
Peak_YK	31	32	26	18	27	29	33	27	38	22	38	38	35	45	55	44	38	39	39	38	37	41	43	49	39	42	48	63	177	244	277	245	239	
Peak_ZrK	142	109	64	73	82	78	111	102	89	102	95	98	103	116	153	134	126	134	144	132	157	124	135	159	150	147	145	203	479	771	799	762	825	
Peak_SrK	19	19	11	31	48	79	89	91	110	101	118	126	133	127	126	150	152	160	144	175	155	167	185	192	179	144	173	53	27	21	16	17	13	
